날짜	left count	left distance	right count	right distance
8/7/2025 15:31:08	0	0	1	2.77
8/7/2025 15:31:24	0	0	0	0
8/7/2025 15:31:38	0	0	0	0
8/7/2025 15:31:54	1	4.07	0	0
8/7/2025 15:32:11	0	0	0	0
8/7/2025 15:32:24	0	0	0	0
8/7/2025 15:32:40	1	13.19	0	0
8/7/2025 15:32:57	0	0	0	0
8/7/2025 15:33:10	8	115.82	7	95.87
8/8/2025 9:14:23	0	0	1	1.59
8/8/2025 9:14:36	0	0	0	0
8/8/2025 9:14:52	0	0	0	0
8/8/2025 9:15:05	0	0	0	0
8/8/2025 9:15:22	0	0	0	0
8/8/2025 9:15:37	0	0	0	0
8/8/2025 9:15:50	0	0	0	0
8/8/2025 9:58:35	11	107.67	4	23.03
8/8/2025 9:58:50	2	6.68	2	16.36
8/8/2025 9:59:05	2	5.12	4	15.86
8/8/2025 10:00:19	9	90.19	8	85.2
8/8/2025 10:00:36	12	662.75	0	0
8/8/2025 10:00:53	8	207.04	5	15.62
8/8/2025 10:01:07	1	0.15	0	0
8/8/2025 10:01:23	0	0	0	0
8/8/2025 10:01:38	0	0	1	78.4
8/8/2025 10:01:55	1	0.13	0	0
8/8/2025 10:02:09	0	0	0	0
8/8/2025 10:02:25	0	0	0	0
8/8/2025 10:02:40	0	0	0	0
8/8/2025 10:02:52	0	0	0	0
8/8/2025 10:03:07	0	0	0	0
8/8/2025 10:03:22	0	0	0	0
8/8/2025 10:03:41	0	0	0	0
8/8/2025 10:03:56	0	0	0	0
8/8/2025 10:04:10	0	0	0	0
8/8/2025 10:04:24	0	0	0	0
8/8/2025 10:04:40	0	0	0	0
8/8/2025 10:04:54	0	0	0	0
8/8/2025 10:05:09	0	0	0	0
8/8/2025 10:05:22	0	0	0	0
8/8/2025 10:05:36	0	0	0	0
8/8/2025 10:05:50	0	0	0	0
8/8/2025 10:06:06	0	0	0	0
8/8/2025 10:06:23	0	0	0	0
8/8/2025 10:06:38	0	0	0	0
8/8/2025 10:06:56	0	0	0	0
8/8/2025 10:07:08	0	0	0	0
8/8/2025 10:07:26	0	0	0	0
8/8/2025 10:07:39	0	0	0	0
8/8/2025 10:07:54	0	0	0	0
8/8/2025 10:08:12	1	60.04	0	0
8/8/2025 10:08:26	0	0	0	0
8/8/2025 10:08:40	0	0	0	0
8/8/2025 10:08:54	0	0	0	0
8/8/2025 10:09:10	0	0	0	0
8/8/2025 10:09:23	0	0	0	0
8/8/2025 10:09:40	0	0	0	0
8/8/2025 10:09:54	0	0	0	0
8/8/2025 10:10:12	0	0	0	0
8/8/2025 10:10:25	0	0	0	0
8/8/2025 10:10:40	0	0	0	0
8/8/2025 10:10:56	0	0	0	0
8/8/2025 10:11:12	0	0	0	0
8/8/2025 10:11:26	0	0	0	0
8/8/2025 10:11:41	0	0	0	0
8/8/2025 10:11:56	0	0	0	0
8/8/2025 10:12:11	0	0	0	0
8/8/2025 10:12:24	0	0	0	0
8/8/2025 10:12:37	0	0	0	0
8/8/2025 10:12:50	0	0	0	0
8/8/2025 10:13:04	0	0	0	0
8/8/2025 10:13:17	0	0	0	0
8/8/2025 10:13:30	0	0	0	0
8/8/2025 10:13:46	0	0	0	0
8/8/2025 10:14:03	0	0	0	0
8/8/2025 10:14:15	0	0	0	0
8/8/2025 10:14:28	0	0	0	0
8/8/2025 10:14:41	0	0	0	0
8/8/2025 10:14:58	0	0	0	0
8/8/2025 10:15:12	0	0	0	0
8/8/2025 10:15:29	0	0	0	0
8/8/2025 10:15:44	0	0	0	0
8/8/2025 10:16:00	0	0	0	0
8/8/2025 10:16:16	0	0	0	0
8/8/2025 10:16:31	0	0	0	0
8/8/2025 10:16:45	0	0	0	0
8/8/2025 10:16:59	0	0	0	0
8/8/2025 10:17:12	0	0	0	0
8/8/2025 10:17:25	0	0	0	0
8/8/2025 10:17:40	0	0	0	0
8/8/2025 10:17:53	0	0	0	0
8/8/2025 10:18:09	0	0	0	0
8/8/2025 10:18:25	0	0	0	0
8/8/2025 10:18:38	0	0	0	0
8/8/2025 10:18:51	0	0	0	0
8/8/2025 10:19:05	0	0	0	0
8/8/2025 10:19:18	0	0	0	0
8/8/2025 10:19:33	0	0	0	0
8/8/2025 10:19:48	0	0	0	0
8/8/2025 10:20:02	0	0	0	0
8/8/2025 10:20:20	0	0	0	0
8/8/2025 10:20:31	0	0	0	0
8/8/2025 10:20:47	0	0	0	0
8/8/2025 10:21:02	0	0	0	0
8/8/2025 10:21:18	0	0	0	0
8/8/2025 10:21:32	0	0	0	0
8/8/2025 10:21:45	0	0	0	0
8/8/2025 10:21:58	0	0	0	0
8/8/2025 10:22:12	0	0	0	0
8/8/2025 10:22:25	0	0	0	0
8/8/2025 10:22:38	0	0	0	0
8/8/2025 10:22:51	0	0	0	0
8/8/2025 10:23:06	0	0	0	0
8/8/2025 10:23:22	0	0	0	0
8/8/2025 10:23:34	0	0	0	0
8/8/2025 10:23:47	0	0	0	0
8/8/2025 10:26:51	4	67.46	4	81.15
8/8/2025 10:27:05	30	314.78	12	403.91
8/8/2025 10:27:18	12	257.54	11	93.42
8/8/2025 10:27:31	1	24.3	0	0
8/8/2025 10:27:44	0	0	0	0
8/8/2025 10:27:59	0	0	3	42.44
8/8/2025 10:28:12	0	0	1	11.43
8/8/2025 10:28:27	0	0	0	0
8/8/2025 10:28:42	0	0	1	76.29
8/8/2025 10:28:55	1	0.99	0	0
8/8/2025 10:29:08	2	3.42	5	27.98
8/8/2025 10:29:23	2	0.68	1	13.15
8/8/2025 10:29:39	1	0.33	0	0
8/8/2025 10:29:54	0	0	0	0
8/8/2025 10:30:08	2	6.53	0	0
8/8/2025 10:30:20	0	0	0	0
8/8/2025 10:30:33	0	0	0	0
8/8/2025 10:30:47	0	0	0	0
8/8/2025 10:31:00	0	0	0	0
8/8/2025 10:31:14	0	0	0	0
8/8/2025 10:31:27	0	0	0	0
8/8/2025 10:31:42	0	0	0	0
8/8/2025 10:31:57	0	0	0	0
8/8/2025 10:32:11	0	0	0	0
8/8/2025 10:32:27	1	0.17	0	0
8/8/2025 10:35:12	0	0	1	12.91
8/8/2025 10:35:26	2	19.14	0	0
8/8/2025 10:35:40	13	166.71	0	0
8/8/2025 10:35:55	7	197.78	2	7.57
8/8/2025 10:36:08	8	77.61	8	252.04
8/8/2025 10:36:21	15	156.08	0	0
8/8/2025 10:36:36	0	0	0	0
8/8/2025 10:36:53	0	0	0	0
8/8/2025 10:37:06	1	33.45	0	0
8/8/2025 10:37:21	0	0	1	33.43
8/8/2025 10:37:34	0	0	0	0
8/8/2025 10:37:48	1	11.28	0	0
8/8/2025 10:38:04	1	25.28	0	0
8/8/2025 10:38:19	0	0	1	1.43
8/8/2025 10:39:43	0	0	0	0
8/8/2025 10:39:58	1	21.57	0	0
8/8/2025 10:40:11	0	0	0	0
8/8/2025 10:40:26	0	0	0	0
8/8/2025 10:40:40	0	0	0	0
8/8/2025 10:40:54	0	0	0	0
8/8/2025 10:41:09	0	0	0	0
